TPDV,107,勞訴,64,20180727,1
KSHV,110,勞上易,77,20210818,1
MLDV,105,苗勞簡,3,20180131,2
TCHV,92,勞再易,3,20030530,1
TPHV,107,勞上,14,20181205,1
KSHV,111,勞上易,138,20220629,1
TPSV,100,台上,1026,20110630
TPHV,93,勞上更(一),1,20041102,1
TPHV,92,勞上易,18,20030826,1
KSHV,111,勞上易,97,20220429,1
TPHV,113,重勞再,3,20241030,1
KSHV,111,勞上易,39,20220331,1
TPDV,102,司促,5403,20130313,1
PCDV,108,勞訴,174,20191216,1
KSHV,94,勞上,6,20051129,2
KSDV,112,勞訴,7,20230510,1
TPHV,99,勞上易,72,20100831,1
TPSV,93,台上,873,20040430
SLDV,91,勞訴,4,20020620,1
HLHV,95,勞再易,3,20061030,1
TNHV,108,勞上,17,20200227,1
TCDV,94,勞訴,109,20060224,1
TCEV,91,中勞簡,50,20021031
KSDV,108,重勞訴,9,20200109,1
KSHV,91,勞上易,22,20020911,1
KSDV,100,勞訴,24,20110531,1
CYDV,97,勞訴,7,20080729,1
TNHV,94,勞上易,8,20060321,1
TPSV,102,台上,1665,20130904
TCHV,91,勞上,1,20020619,1
TPDV,101,勞訴,252,20140204,1
KSHV,111,勞上易,276,20221230,1
CTDV,108,勞訴,52,20200624,2
TPDV,99,勞訴,171,20101130,1
KSHV,111,勞上易,32,20220331,1
TPDV,103,訴,649,20150213,3
KSHV,110,勞上易,71,20210730,1
KSHV,112,勞上,16,20240116,1
KSHV,109,勞上,46,20211130,1
TNHV,101,勞上,1,20120327,1
TPDV,91,勞訴,84,20021223,1
KSHV,95,勞上易,20,20060927,1
KSHV,109,勞上易,28,20200415,1
KSHV,111,勞上易,29,20220331,1
KSDV,110,勞簡上,14,20220117,1
TCHV,92,勞上,9,20040113,1
KSHV,111,勞上易,256,20221031,1
KSDV,95,勞訴,52,20060929,1
KSDV,105,勞訴,115,20161209,1
TPSV,94,台上,1547,20050819
TTDV,96,勞訴,3,20071127,1
TPHV,97,勞上,54,20090526,1
TCDV,105,勞小上,6,20160512,2
TPDV,93,勞小上,17,20041129,1
TPHV,91,勞上,29,20020716,2
KSHV,95,勞上易,29,20070117,1
KSHV,110,勞上易,3,20210129,1
KSDV,95,勞訴,90,20061219,1
KSHV,111,勞上易,96,20220531,1
KSHV,94,勞上,16,20060712,1
TPDV,95,簡上,117,20060928,1
TPHV,105,勞上,130,20170920,1
TPDV,102,勞訴,233,20141031,1
PCDV,102,勞訴,25,20130808,1
KSHV,111,勞上易,247,20221031,1
TPHV,103,勞上,115,20170412,1
FYEV,90,豐勞簡,6,20020422
TPSV,107,台上,649,20180606,1
KSHV,110,勞上易,124,20211230,1
TCDV,112,勞訴,207,20240125,1
CDEV,107,橋勞簡,1,20180607,1
TNHV,111,勞上易,24,20231122,1
KSDV,107,重勞訴,3,20191017,1
HLHV,92,勞上易,64,20040109,1
TPDV,106,勞訴,183,20180827,2
TYDV,100,勞訴,40,20111229,1
TPDV,101,勞訴,252,20140220,3
TCHV,104,勞上,22,20150901,1
TNHV,94,勞上易,12,20060328,1
KSHV,111,勞上易,12,20220126,1
TPSV,111,台上,1249,20220630,1
TCHV,90,上,493,20020219,1
TPHV,103,勞再易,3,20140512,2
TCHV,98,勞上易,7,20090601,1
KSHV,108,勞上易,34,20190626,1
KSHV,95,勞上易,27,20061130,1
ULDV,110,勞簡上,1,20210524,2
TCEV,104,中勞簡,90,20160519,1
KSHV,111,勞上易,137,20220630,1
TPDV,90,勞訴,46,20010928,1
TPHV,94,勞再,2,20051108,1
KSHV,111,勞上易,206,20220824,1
MLDV,102,苗勞小,1,20130424,1
HLHV,96,重勞上,1,20071109,1
CDEV,108,橋勞簡,11,20190725,1
TCDV,105,勞簡上,13,20161209,1
KSHV,111,勞上易,117,20220629,1
SLDV,111,勞小上,2,20220816,1
KSHV,109,勞上易,113,20201223,1
PTDV,105,勞訴,29,20180417,1
TPDV,108,勞訴,138,20200430,2
KSHV,102,勞上易,27,20140506,1
KSHV,110,勞上易,99,20211124,1
KSHV,111,勞上易,74,20220420,1
ULDV,93,勞訴,8,20051031,1
PTDV,99,勞訴,16,20110729,1
TPHV,95,勞上,61,20061024,2
TPSV,103,台上,1115,20140604
TTDV,91,勞訴,4,20030718,1
ULDV,104,勞簡上,1,20151030,1
KSDV,108,司促,21032,20191025,2
TNDV,103,勞訴,46,20161128,3
TPHV,90,勞上,49,20011126,1
TCEV,95,中勞簡,89,20070205,1
TPHV,107,勞上,134,20191112,1
KSHV,91,勞上易,21,20020821,1
CYDV,94,勞訴,2,20050531,1
TCDV,96,勞再易,1,20070126,1
TNHV,108,勞上易,8,20190612,1
TPHV,113,勞上易,28,20250107,2
TNHV,98,勞上易,13,20090915,1
TPEV,100,北勞簡,142,20120613,1
TNHV,97,勞上易,15,20081118,1
KSDV,95,勞訴,64,20070323,1
TPDV,106,勞訴,144,20171115,1
TPSV,106,台上,1873,20171122
HLHV,113,勞上,2,20241218,1
KSDV,109,勞訴,60,20200826,2
KSHV,111,勞上易,84,20220429,1
KSDV,92,勞訴,76,20040624,1
TPSV,95,台上,140,20060125
TPHV,99,重勞上,6,20101020,1
KSHV,92,勞上易,28,20030827,1
TCHV,110,勞上易,4,20211229,1
SLDV,100,勞再易,2,20120105,1
TYDV,107,勞訴,60,20181015,1
CYDV,97,勞簡上,1,20080430,1
TPSV,103,台上,2446,20141126
KSHV,101,勞上易,43,20130322,3
TCHV,92,勞上易,72,20031223,1
TCHV,109,勞上,9,20200407,1
SLDV,111,勞簡上,11,20230427,1
TCHV,107,勞再易,3,20180702,1
FYEV,91,豐勞簡,6,20020712
KSHV,102,勞上易,35,20140211,1
CYDV,94,勞訴,1,20060525,1
TPHV,95,勞上易,88,20061003,1
TNHV,95,勞再易,1,20061219,1
PTEV,109,屏勞簡,4,20201118,1
TNHV,109,勞上易,1,20201215,1
TPHV,108,上易,1360,20201006,1
TPSV,104,台上,2364,20151210
TPDV,111,勞簡,24,20221109,1
KSHV,106,勞上易,6,20170419,1
TPHV,99,勞上,70,20101130,1
KSHV,106,勞上易,73,20180529,1
TCDV,112,勞訴,65,20230907,2
TPEV,104,北勞小,57,20151208,1
TPHV,108,勞上易,65,20200512,1
TPHV,99,勞上易,43,20101026,1
TPHV,110,勞上,35,20211207,1
TPSV,109,台上,1266,20201030,1
SLDV,110,勞小,25,20211126,1
TPHV,97,勞再易,10,20080919,1
TPHV,108,勞上易,29,20191008,1
TPSV,97,台上,731,20080417
TPHV,105,勞上,108,20170627,1
TTDV,91,勞訴,1,20030718,1
TPHV,94,勞上,4,20050518,1
TPHV,104,勞上易,72,20160308,1
TPSV,109,台上,1751,20210830,1
TPHV,101,重勞上,27,20121225,1
KSHV,111,勞上易,181,20220729,1
TPDV,108,勞簡,25,20191224,1
TCHV,113,勞上易,8,20240522,1
TPHV,94,勞上易,91,20060411,1
TCHV,95,勞上,7,20061017,2
TPHV,100,勞上,32,20110816,1
TPSV,94,台上,1911,20051020
KSDV,111,勞小,75,20220825,1
TCDV,98,勞訴,157,20100203,1
TPDV,95,勞訴,12,20060511,1
KSHV,108,勞上易,17,20190410,1
TYDV,107,勞訴,196,20190812,2
TPHV,93,勞再易,5,20050503,1
KSDV,91,勞訴,69,20030318,1
TPHV,93,勞再易,6,20050503,1
TPHV,98,勞上,56,20091231,1
KSHV,110,勞上易,44,20210519,1
KSHV,106,勞上易,5,20170322,1
TPSV,99,台上,1951,20101022
KSHV,111,勞上易,124,20220531,1
SLDV,102,勞訴,60,20141125,1
KSHV,107,勞上易,57,20181114,1
KSHV,111,勞上易,42,20220309,1
TYDV,98,勞訴,31,20090826,4
TNHV,107,勞上易,33,20190523,1
TPHV,95,勞上,37,20060815,1
PCDV,92,勞訴,35,20031013,1
TPEV,94,北簡,42344,20051222,1
TPSV,97,台上,1515,20080717
KSHV,111,勞上易,161,20220630,1
KSDV,103,勞訴,67,20140820,1
KSDV,108,勞簡上,3,20200701,1
TNEV,104,南勞簡,21,20151210,1
KSHV,110,勞上易,135,20220128,1
TPSV,103,台上,2618,20141217
KSDV,106,勞簡上,11,20180329,1
TPSV,92,台上,2361,20031031
TPDV,92,勞簡上,17,20030910,1
TPDV,109,勞簡,3,20200528,2
TPHV,101,勞上,30,20121211,1
KSDV,92,勞簡上,20,20040319,1
KSHV,111,勞上易,232,20221031,1
KSDV,95,勞訴,90,20061219,2
TYEV,103,桃勞小,35,20150703,2
TPEV,106,北勞簡,295,20180516,1
KSHV,110,勞上易,115,20211222,1
KSHV,95,勞上易,21,20061018,1
TPHV,99,勞上易,14,20100907,1
KSHV,111,勞上易,254,20221031,1
KSHV,111,勞上易,191,20220921,1
TPDV,93,勞訴,91,20041206,1
CTDV,109,勞訴,33,20210205,1
HLDV,96,訴,64,20080918,2
TYDV,109,勞小,53,20210208,1
KSHV,110,勞上易,13,20210428,2
TPHV,105,勞上易,8,20160517,1
TTDV,91,勞訴,7,20030718,1
KMEV,101,城勞簡,1,20121026,1
HLHV,95,勞再易,2,20061225,1
KSHV,95,勞上易,33,20070206,1
KSHV,90,勞上易,16,20010816,1
HLHV,97,上,51,20090117,1
TPSV,103,台上,2249,20141029
HLHV,105,勞上易,1,20160929,1
TPSV,107,台上,1689,20190109,1
KSDV,97,勞訴,15,20080922,1
TPDV,110,重勞訴,32,20221202,2
KSDV,95,勞訴,75,20061106,1
TPSV,112,台上,2506,20240328,1
KSHV,113,勞上易,34,20240814,1
HLHV,96,勞上易,3,20071109,1
TPEV,91,北勞小,21,20020930,1
CDEV,107,橋勞小,5,20180530,1
TCHV,113,勞上,17,20241009,1
KSHV,96,勞上易,12,20070718,1
PTEV,91,屏勞簡,1,20020523,1
TNHV,96,勞上易,12,20070821,1
KSHV,111,勞上易,203,20220928,1
KSHV,105,勞上易,47,20161207,1
