CYDV,88,勞訴,2,19990803
TNHV,88,勞上,11,20000222,1
TPDV,89,勞訴,25,20000607
TPHV,89,勞上,35,20020730,2
SLDV,85,勞訴,14,19980410
SLDV,85,勞訴,14,19980410,1
SLDV,85,勞訴,14,19980513
SLDV,85,勞訴,14,19980513,1
TPHV,90,勞上更一,2,20011211,1
CYDV,89,勞訴,6,20010629
KSDV,90,重勞訴,2,20010725,1
TYDV,102,勞訴,32,20140319,2
TYDV,102,勞訴,81,20140108,1
TYDV,102,勞訴,81,20140331,3
KSDV,102,勞訴,80,20131031,1
KSDV,102,勞訴,80,20131206,2
KSDV,102,勞訴,83,20131105,1
KSDV,102,勞訴,83,20131202,2
KSDV,102,勞訴,93,20131119,1
KSDV,102,勞訴,93,20131225,2
TNDV,96,勞訴,27,20090331,1
TNDV,96,勞訴,27,20090427,2
TNHV,98,勞上,8,20091221,1
TNHV,98,勞上,8,20100511,2
TNHV,98,勞上,8,20100609,3
PCDV,98,勞訴,94,20091225,1
PCDV,98,勞訴,136,20091230,1
PCDV,98,勞訴,136,20100129,3
TPDV,98,勞訴,121,20091022,1
SLDV,97,重勞訴,5,20090410,1
TPHV,100,重勞上更(一),3,20131231,1
TPDV,98,勞訴,87,20100303,1
TPDV,98,勞訴,117,20090921,1
TPDV,98,勞訴,117,20100104,2
TPDV,98,勞訴,111,20090930,1
TPDV,98,勞訴,111,20100121,2
SLDV,98,勞訴,74,20100202,1
STEV,99,店勞訴,1,20100312,1
STEV,99,店勞訴,1,20100312,2
STEV,99,店勞訴,1,20100401,3
KSDV,98,勞訴,54,20100120,1
TTDV,91,勞訴,6,20030718,1
TPDV,92,勞訴,179,20040427,1
TPHV,93,勞上,48,20050426,1
PCDV,93,勞訴,90,20050425,1
PCDV,93,勞訴,90,20050525,2
KSDV,93,勞訴,49,20050321,2
CHDV,100,勞訴,19,20121130,1
TYDV,102,勞訴,11,20140414,2
TPHV,103,勞上易,43,20140902,1
TPDV,101,勞訴,118,20130809,2
TPDV,101,勞訴,290,20130822,1
TPDV,101,勞訴,290,20130930,2
TPHV,103,勞再易,3,20140410,1
SLDV,102,勞訴,8,20130611,1
SLDV,102,勞訴,8,20130619,2
TPHV,103,勞再易,4,20140507,1
TPDV,102,重勞訴,12,20130910,1
TPDV,102,重勞訴,12,20131004,2
TYDV,96,勞訴,31,20071115,1
TYDV,96,勞訴,31,20071212,3
TYDV,96,勞訴,31,20080103,4
TYDV,96,勞訴,31,20080118,5
TPDV,94,勞訴,181,20060418,1
TPDV,94,勞訴,181,20070308,2
PCDV,96,勞訴,16,20070511,2
TPDV,95,勞訴,128,20070126,1
TPDV,95,勞訴,128,20070227,2
KLDV,95,勞訴,4,20070518,1
TPDV,94,勞訴,204,20060124,1
TPDV,94,勞訴,204,20060303,2
TPHV,95,勞上,17,20070706,2
TPHV,96,勞再易,11,20071106,2
TTDV,96,訴,66,20070621,1
TTDV,96,重訴,7,20070621,1
KSDV,96,勞訴,10,20070713,1
KSDV,96,勞訴,14,20070531,1
KSDV,96,勞訴,14,20070718,2
KSDV,96,勞訴,14,20070810,3
KSDV,96,勞訴,14,20070831,4
KSDV,96,勞訴,24,20070607,1
KSDV,96,勞訴,24,20070802,2
KSDV,96,勞訴,24,20070910,3
PTDV,96,勞訴,4,20070827,1
TPDV,102,勞訴,233,20141031,1
TPHV,106,勞再,6,20171018,1
SLDV,104,勞訴,63,20160906,1
TNDV,104,勞訴,71,20161011,1
TNDV,104,勞訴,71,20161104,2
KSDV,105,勞訴,114,20161129,1
CTDV,105,勞訴,112,20161230,1
CTDV,105,勞訴,112,20170120,2
CTDV,105,勞訴,114,20170126,1
CTDV,105,勞訴,115,20170220,1
KSDV,105,勞訴,94,20161209,1
TPDV,103,勞訴,116,20150121,2
TPDV,103,勞訴,116,20150212,3
KSDV,103,重勞訴,7,20150508,1
KSDV,103,重勞訴,7,20150626,2
KSHV,104,重勞上,6,20151202,2
TCDV,101,訴,2842,20140411,1
TCHV,103,重勞上,6,20160406,1
TCHV,103,重勞上,6,20160817,2
TCHV,106,重勞上更(一),1,20191030,1
TPDV,103,訴,649,20141121,2
TPDV,103,訴,649,20150213,3
TPDV,103,訴,649,20150318,4
TPDV,104,重勞訴,6,20151120,2
TPDV,104,重勞訴,6,20160119,3
TPHV,109,重勞上更一,1,20210315,2
TCDV,105,勞訴,107,20161216,1
TCDV,105,勞訴,107,20170120,2
TCDV,105,勞訴,138,20170118,1
TCDV,105,勞訴,138,20170213,2
CTDV,105,勞訴,116,20170124,1
CTDV,105,勞訴,109,20170220,1
CTDV,105,勞訴,117,20170223,1
TPDV,97,勞訴,75,20080625,1
TCDV,97,勞訴,71,20070930,1
KLDV,96,勞訴,1,20070606,1
TPDV,96,勞訴,115,20071004,1
KLDV,89,勞訴,1,20000225
TPHV,89,勞上,15,20010102,1
TCHV,86,勞上易,1,19971208
TCHV,90,勞再易,3,20011129,1
TCHV,91,勞再易,1,20020327,1
TCHV,92,勞再易,5,20031021,1
TCHV,92,勞再易,6,20040416,2
TCHV,92,勞再易,6,20040416,1
TCHV,92,勞再易,6,20040824,2
TCHV,92,勞再易,6,20040824,1
TCHV,93,勞再易,2,20040930,1
TCHV,93,勞再易,2,20041021,1
KSDV,87,勞訴,34,19990812
SLDV,99,勞訴,40,20101029,1
SLDV,99,勞訴,40,20101214,2
TPDV,99,勞訴,208,20101005,1
TPDV,99,勞訴,208,20101102,2
TCDV,99,勞訴,106,20101011,1
CYDV,99,勞訴,4,20100608,1
CYDV,99,勞訴,4,20100707,2
TNHV,99,勞上易,14,20101101,1
TNHV,99,勞上易,14,20110325,2
SLDV,96,勞訴,29,20080619,1
SLDV,96,勞訴,29,20080725,2
TPHV,97,勞上,60,20091014,2
SLDV,98,勞訴,36,20091007,1
TPHV,99,勞上更(一),8,20110613,1
TPDV,99,訴,581,20100622,1
PCDV,98,勞訴,152,20100129,2
TPDV,98,重勞訴,18,20100520,1
TPDV,98,重勞訴,6,20090731,1
TPDV,98,重勞訴,6,20091117,2
TPDV,98,重勞訴,6,20100107,3
TPHV,99,重勞上,6,20101020,2
TPHV,99,重勞上,6,20110121,3
TCDV,98,勞訴,18,20090831,1
TCDV,98,勞訴,18,20100312,3
TCDV,98,勞訴,18,20100401,4
TCDV,98,勞訴,18,20100415,5
NTDV,98,勞訴,5,20100604,1
KSDV,99,勞訴,46,20100730,1
KSHV,99,勞上易,21,20100909,1
TPDV,104,勞訴,179,20160627,1
TPDV,104,勞訴,179,20160727,2
TPDV,105,勞訴,77,20160819,1
TPDV,105,勞訴,77,20160914,2
TPHV,105,勞上,108,20170811,2
TPDV,105,勞訴,26,20160810,1
TYDV,105,勞訴,48,20170116,2
TPDV,102,勞訴,47,20131217,1
TCDV,103,勞訴,8,20140721,2
TCDV,103,勞訴,8,20150313,3
TCDV,103,勞訴,8,20150409,4
TCHV,104,勞上,11,20170214,1
CYDV,105,勞訴,22,20161213,1
CYDV,105,勞訴,22,20170116,2
TPDV,97,勞訴,142,20090422,1
TPDV,97,勞訴,142,20090610,2
TPDV,97,勞訴,142,20090714,3
TPHV,98,勞上,68,20100623,2
TPDV,96,重勞訴,16,20071231,1
TPDV,99,勞訴,59,20100528,1
TPDV,99,勞訴,59,20100705,2
PCDV,99,勞訴,21,20100707,3
TCDV,99,勞訴,58,20100715,1
TCHV,99,勞上易,49,20101215,2
TNDV,98,勞訴,7,20100518,2
TNDV,98,勞訴,7,20100611,3
KSDV,99,勞訴,47,20100818,1
PCDV,86,勞訴,9,19980515
TPHV,87,勞上,25,19990406
TPHV,89,勞上更一,5,20001212,1
SLDV,87,勞訴,28,19990722
TPHV,93,勞上更(二),19,20051026,1
SLDV,87,勞訴,24,19990524
SLDV,87,勞訴,24,19990722
TPHV,88,勞上,53,20000221
KLDV,88,勞訴,1,19991015
TPDV,88,勞訴,38,19991229
PCDV,110,勞訴,233,20220503,1
TPHV,111,勞上易,97,20230505,1
TYDV,111,勞訴,61,20221215,2
TPDV,112,勞訴,63,20230411,1
TPDV,112,勞訴,55,20230412,1
TPDV,112,勞訴,48,20230412,1
TPDV,112,勞訴,73,20230428,1
TPDV,112,勞訴,73,20230908,2
TPDV,112,勞訴,73,20231002,3
TPDV,111,勞訴,407,20230407,1
PTDV,111,勞訴,11,20230314,1
PTDV,111,勞訴,11,20230411,2
KSDV,112,勞訴,55,20230516,1
KSDV,102,重勞訴,3,20140227,1
KSDV,102,重勞訴,3,20140328,2
KSHV,103,重勞上,3,20150709,1
KSHV,103,重勞上,3,20160511,3
KSHV,107,重勞上更一,1,20200218,1
KSHV,112,重勞上更三,3,20240418,2
TYDV,112,勞訴,50,20230719,2
TPHV,113,勞上,26,20240513,1
TPHV,114,審勞上移調,27,20250808,1
TPDV,109,勞訴,427,20220117,1
TPDV,109,勞訴,427,20220617,2
TPDV,111,勞訴,245,20221027,1
TPDV,111,勞訴,245,20221230,2
TPDV,111,勞訴,521,20221221,1
TPDV,111,勞訴,521,20230131,2
TPDV,111,勞訴,389,20220930,1
TPDV,111,勞訴,389,20230104,2
TPHV,112,勞上易,47,20230913,2
TPDV,112,勞訴,28,20230224,1
TPDV,111,勞訴,502,20230221,1
TPDV,111,勞訴,502,20230317,2
CTDV,110,勞訴,204,20220818,1
KSHV,111,勞上,53,20230629,2
CTDV,110,勞訴,96,20220408,1
KSDV,111,勞訴,72,20220907,1
SLDV,87,勞訴,6,19980710
TPDV,90,勞訴,4,20010927,1
TPHV,90,勞上,64,20020528,1
CHDV,91,勞訴,8,20020620,1
TCDV,89,勞訴,29,20010713,1
TCDV,89,勞訴,29,20011214,1
CHDV,90,勞訴,9,20011218,1
KSDV,91,勞訴,33,20020524,1
KSDV,91,勞訴,32,20020607,1
KSDV,91,勞訴,38,20020628,1
TPDV,102,勞訴,32,20130904,1
TPDV,102,勞訴,32,20131001,2
TYDV,102,勞訴,13,20140117,1
TYDV,102,勞訴,13,20140702,2
TYDV,102,勞訴,13,20141227,4
PCDV,104,勞訴,27,20150618,1
TPDV,103,重勞訴,40,20150320,1
TNDV,104,勞訴,44,20150818,1
KSDV,103,勞訴,98,20150814,1
KSDV,104,勞訴,77,20150826,1
KSDV,104,勞訴,77,20150918,2
KSDV,104,勞訴,68,20150904,1
KSDV,104,勞訴,105,20150930,1
KSDV,104,勞訴,106,20151027,1
KSDV,104,勞訴,113,20151030,1
CHDV,88,勞訴,7,19990830
PCDV,96,勞訴,83,20081118,1
PCDV,96,勞訴,83,20081231,2
PCDV,96,勞訴,83,20090219,3
PCDV,97,勞訴,91,20090623,2
CYDV,96,勞訴,3,20080229,1
CYDV,96,勞訴,3,20080501,2
CYDV,96,勞訴,3,20090205,3
CYDV,96,勞訴,3,20090303,4
CYDV,98,勞訴,14,20090924,1
KSDV,98,勞訴,15,20090819,1
TPDV,93,重勞訴,1,20040204,1
TPDV,93,重勞訴,1,20040924,2
PCDV,93,勞訴,51,20041129,2
TCDV,91,勞訴,34,20020822,1
TCHV,93,勞上更(一),3,20050524,1
TCHV,93,勞上更(一),3,20051130,3
TPDV,100,勞訴,43,20110830,1
TPDV,100,勞訴,43,20110922,2
TPDV,100,勞訴,27,20111209,2
TPHV,101,勞再易,8,20121003,1
TPHV,101,勞再易,8,20121119,2
TPDV,98,勞訴,159,20100331,1
TPDV,98,勞訴,159,20100526,2
TPDV,98,勞訴,159,20110112,3
TPHV,101,勞再,1,20120217,1
TPDV,100,勞訴,26,20110531,1
TPDV,100,勞訴,26,20110628,2
CYDV,100,勞訴,2,20110110,1
CYDV,100,勞訴,2,20110823,1
CYDV,100,勞訴,2,20110823,2
CYDV,100,勞訴,2,20110913,3
KSDV,100,勞訴,75,20111129,1
KSDV,100,勞訴,75,20111209,2
TCDV,90,勞訴,46,20020113,1
TPDV,92,勞訴,59,20030728,1
TPHV,94,勞再,4,20051024,1
TPHV,94,勞再,4,20060313,3
TPHV,94,勞再,4,20060331,4
SLDV,87,勞訴,25,19990817
TPHV,88,勞上,51,19991013
TPHV,88,勞上,51,20000509
SLDV,88,勞訴,9,19990722
TPDV,88,勞訴,15,19990506
TPDV,88,勞訴,15,19990921
TPHV,88,勞上,59,20000414
TPDV,88,重勞訴,2,19990415
TPDV,88,重勞訴,2,19990816
HLDV,88,勞訴,5,19991220
KSDV,88,勞訴,34,19991130
TPDV,108,勞訴,361,20210531,1
PCDV,109,勞補,316,20201223,1
PCDV,110,勞訴,15,20210817,1
PCDV,110,勞訴,15,20210916,2
TPDV,110,勞訴,227,20211021,1
TPDV,109,勞訴,383,20201230,1
TPDV,109,勞訴,383,20210128,2
TPHV,110,勞上易,23,20211228,1
TPHV,111,勞再易,13,20221201,1
TPDV,110,勞訴,291,20211104,1
TPDV,110,勞訴,291,20211130,2
TPDV,110,勞訴,273,20211130,1
TCDV,110,勞訴,220,20220114,1
CTDV,110,勞訴,181,20211227,1
CTDV,110,勞訴,195,20220120,1
CTDV,110,勞訴,184,20220113,1
CTDV,110,勞訴,184,20220207,2
CTDV,110,勞訴,184,20220209,3
CTDV,110,勞訴,183,20220113,1
CTDV,110,勞訴,183,20220207,2
CTDV,110,勞訴,183,20220209,3
CTDV,110,勞訴,221,20220126,1
CTDV,110,勞訴,221,20220217,2
CTDV,110,勞訴,199,20211228,1
CTDV,110,勞訴,209,20220119,1
CTDV,110,勞訴,176,20220106,1
CTDV,110,勞訴,176,20220117,2
PTDV,110,勞訴,57,20211229,1
CTDV,111,勞訴,15,20220224,1
CTDV,111,勞訴,21,20220209,1
CTDV,111,勞訴,21,20220223,2
CTDV,111,勞訴,22,20220211,1
CTDV,110,勞訴,220,20220217,1
CTDV,111,勞訴,2,20220217,1
CTDV,111,勞訴,4,20220217,1
CTDV,111,勞訴,3,20220217,1
CTDV,111,勞訴,3,20220315,2
CTDV,111,勞訴,8,20220211,1
CTDV,111,勞訴,12,20220125,1
CTDV,111,勞訴,13,20220125,1
CTDV,111,勞訴,32,20220222,1
PTDV,110,勞訴,54,20220120,1
PTDV,110,勞訴,54,20220215,2
PTDV,110,勞訴,54,20220221,3
CTDV,111,勞訴,14,20220224,1
CTDV,111,勞訴,42,20220304,1
CTDV,111,勞訴,42,20220318,2
CTDV,111,勞訴,16,20220303,1
CTDV,111,勞訴,40,20220304,1
CTDV,111,勞訴,36,20220317,1
CTDV,111,勞訴,36,20220329,2
CTDV,110,勞訴,218,20220307,1
CTDV,111,勞訴,35,20220317,1
CTDV,111,勞訴,53,20220318,1
