CYDV,89,勞訴,6,20010629
TPDV,89,勞訴,25,20000607
KSDV,90,重勞訴,2,20010725,1
SLDV,85,勞訴,14,19980513,1
KSDV,102,勞訴,80,20131031,1
KSDV,102,勞訴,83,20131105,1
KSDV,102,勞訴,93,20131119,1
TNDV,96,勞訴,27,20090331,1
PCDV,98,勞訴,94,20091225,1
PCDV,98,勞訴,136,20100129,3
TPDV,98,勞訴,121,20091022,1
TPDV,98,勞訴,87,20100303,1
SLDV,97,重勞訴,5,20090410,1
SLDV,98,勞訴,74,20100202,1
TPDV,98,勞訴,117,20090921,1
STEV,99,店勞訴,1,20100312,1
KSDV,98,勞訴,54,20100120,1
TPDV,92,勞訴,179,20040427,1
TTDV,91,勞訴,6,20030718,1
PCDV,93,勞訴,90,20050425,1
TPDV,101,勞訴,290,20130822,1
CHDV,100,勞訴,19,20121130,1
SLDV,102,勞訴,8,20130611,1
TPDV,101,勞訴,118,20130809,2
TPDV,102,重勞訴,12,20130910,1
TPDV,94,勞訴,181,20070308,2
PCDV,96,勞訴,16,20070511,2
TPDV,94,勞訴,204,20060124,1
TTDV,96,訴,66,20070621,1
KLDV,95,勞訴,4,20070518,1
TTDV,96,重訴,7,20070621,1
KSDV,96,勞訴,24,20070802,2
KSDV,96,勞訴,14,20070810,3
SLDV,104,勞訴,63,20160906,1
PTDV,96,勞訴,4,20070827,1
TPDV,102,勞訴,233,20141031,1
KSDV,105,勞訴,114,20161129,1
CTDV,105,勞訴,112,20161230,1
TNDV,104,勞訴,71,20161011,1
CTDV,105,勞訴,114,20170126,1
CTDV,105,勞訴,115,20170220,1
TPDV,103,勞訴,116,20150121,2
KSDV,105,勞訴,94,20161209,1
KSDV,103,重勞訴,7,20150508,1
TCDV,101,訴,2842,20140411,1
TPDV,104,重勞訴,6,20160119,3
TCDV,105,勞訴,138,20170118,1
CTDV,105,勞訴,116,20170124,1
TPDV,103,訴,649,20150213,3
TCDV,105,勞訴,107,20161216,1
TPDV,97,勞訴,75,20080625,1
KLDV,96,勞訴,1,20070606,1
CTDV,105,勞訴,109,20170220,1
CTDV,105,勞訴,117,20170223,1
KLDV,89,勞訴,1,20000225
TCDV,97,勞訴,71,20070930,1
TPDV,96,勞訴,115,20071004,1
TPDV,99,勞訴,208,20101005,1
SLDV,99,勞訴,40,20101029,1
TCDV,99,勞訴,106,20101011,1
CYDV,99,勞訴,4,20100608,1
SLDV,98,勞訴,36,20091007,1
PCDV,98,勞訴,152,20100129,2
TPDV,98,重勞訴,18,20100520,1
TPDV,99,訴,581,20100622,1
TPDV,98,重勞訴,6,20091117,2
SLDV,96,勞訴,29,20080619,1
KSDV,99,勞訴,46,20100730,1
TPDV,105,勞訴,77,20160819,1
TCDV,98,勞訴,18,20100312,3
TPDV,104,勞訴,179,20160627,1
