TPHV,88,勞上,28,20000126
TPHV,88,勞上,28,20000126,3
TPHV,89,勞上,24,20010410,1
TPHV,89,勞上,24,20010410,3
PCDV,89,勞訴,22,20011106,1
PCDV,89,勞訴,22,20011106,3
TPHV,89,勞上,35,20011218,1
TPHV,89,勞上,35,20011218,2
TPHV,91,勞上,29,20020716,1
TPHV,91,勞上,29,20020716,2
TPHV,90,勞上,16,20020723,1
TPHV,90,勞上,16,20020723,2
TPHV,91,勞上易,7,20020827,1
TPHV,91,勞上易,7,20020827,2
KSHV,91,勞上易,29,20021016,1
KSHV,91,勞上易,29,20021016,2
TCHV,92,勞上易,4,20030429,1
TCHV,92,勞上易,4,20030429,2
TCHV,93,勞上易,13,20040623,1
TCHV,93,勞上易,13,20040623,2
KSHV,94,勞上,6,20051129,1
KSHV,94,勞上,6,20051129,2
PCDV,94,勞訴,24,20060313,1
PCDV,94,勞訴,24,20060313,2
PCDV,94,勞訴,32,20060428,1
PCDV,94,勞訴,32,20060428,2
KSDV,94,勞訴,61,20060629,1
KSDV,94,勞訴,61,20060629,2
TNHV,95,重勞上,1,20061212,1
TNHV,95,重勞上,1,20061212,2
KSDV,95,勞訴,90,20061219,1
KSDV,95,勞訴,90,20061219,2
KSDV,95,勞訴,64,20070323,1
KSDV,95,勞訴,64,20070323,2
KSDV,95,勞訴,71,20070713,3
KSDV,95,勞訴,71,20070713,4
TPHV,99,勞上易,122,20101221,1
TPHV,99,勞上易,122,20101221,2
CYDV,100,勞訴,2,20110823,1
CYDV,100,勞訴,2,20110823,2
KSDV,103,勞訴,62,20150519,1
KSDV,103,勞訴,62,20150519,2
SLDV,104,重勞訴,6,20160413,1
SLDV,104,重勞訴,6,20160413,2
